id,monthly_income,monthly_savings,travel_expense,commute_expense,personal_expense,educational_expense,seasonal_expense,monthly_loans,goal,improvement,policies
81,205966,57536,6805,57113,7515,24372,54685,47294,6300221,personal,list7
82,348509,94828,59245,34695,2026,62397,26440,20351,8723737,seasonal,list7
83,314413,7605,69488,52873,92098,27314,1571,77106,856808,educational,list6
84,426130,92798,65699,46167,98451,9481,44371,92136,3279310,seasonal,list5
85,380585,58202,68854,8335,76281,35803,80866,86701,4461564,commute,list6
86,260023,27724,8218,87544,52158,74225,83746,16500,8387506,educational,list1
87,321581,51144,24088,14572,7168,42037,91569,44063,1327701,seasonal,list3
88,130594,60163,26351,60499,18841,53623,4275,10199,9606292,personal,list7
89,99228,74416,81048,56825,56578,60902,24561,47564,9834280,commute,list2
90,381664,77459,68975,17677,56168,60409,80,90190,1065242,personal,list3
91,230677,92987,50726,45020,97719,74814,82383,2501,1812213,travel,list2
92,329320,82306,96733,75776,33782,42276,24260,62825,6004710,commute,list6
93,145765,62123,72187,90742,24496,72053,6596,67535,7866316,educational,list4
94,28200,31989,81519,9850,60439,29410,60669,33741,4583473,travel,list5
95,103115,40241,32077,41532,43595,94519,68460,23982,9586485,travel,list1
96,6619,64854,31424,58195,30228,8614,7209,27521,9923269,educational,list4
97,292205,81802,68339,16339,38154,24880,98749,43226,2405763,travel,list1
98,488880,15011,70770,52470,19062,62750,81536,98580,2532539,educational,list6
99,336523,78895,73770,29589,83804,87513,17024,90727,8399261,travel,list5
100,182459,8886,9507,68547,81795,60199,99725,97712,5952238,travel,list6
101,55666,78650,4332,97680,8239,22316,50429,60707,2314480,travel,list3
102,481962,32055,38347,45078,91114,53249,31558,37775,4430444,educational,list7
103,436580,94280,34964,92385,28809,52230,93077,78496,5145579,educational,list4
104,134798,56028,77142,54748,93082,15346,23448,26338,7217831,seasonal,list1
105,153963,30603,9247,38599,49089,76032,98130,3322,3754665,personal,list3
106,226328,84649,59622,90322,50484,87962,71401,855,4672191,commute,list6
107,487919,23304,54120,86783,66071,80245,79059,31746,6465000,personal,list3
108,363300,10449,61950,47576,63273,73333,99232,7622,3967997,personal,list5
109,379990,34690,11857,46589,15094,73162,51933,7009,7156658,educational,list2
110,35027,12937,22803,67141,70521,54921,787,77979,3953602,commute,list1
111,192781,38858,2739,14602,71590,44477,26206,4553,8773134,commute,list2
112,39972,53373,76320,16983,57279,79606,63238,70126,3302827,travel,list6
113,286402,65196,98091,52795,3669,82427,13154,55742,5777658,travel,list2
114,276898,5685,50744,78546,42278,97066,68151,17180,4315694,seasonal,list6
115,175126,86560,74109,18237,10267,5321,46638,46348,846170,travel,list5
116,3000,77129,58756,44268,99296,31358,80217,45358,1810982,travel,list5
117,373076,30275,70076,19901,43544,94345,32364,18088,8962836,travel,list1
118,101791,49668,7048,71224,3355,52159,20191,55105,4983225,educational,list2
119,462082,83397,58657,28905,43459,16982,76844,59232,8492163,educational,list5
120,474446,76478,71729,35671,51967,72893,32596,30038,7893426,personal,list4
121,462519,49280,97110,1105,16231,25614,23096,32925,966030,seasonal,list7
122,399859,51329,86139,95406,42682,43532,22258,38804,1599560,seasonal,list5
123,313274,7278,34798,76009,4126,50911,80434,38044,8876573,travel,list6
124,187909,99880,89410,75812,14481,85609,20507,50465,1619119,personal,list3
125,390195,4169,30636,11437,22180,34515,53854,25599,3997065,seasonal,list3
126,352384,85869,11898,59699,64760,63483,86663,69803,8449833,seasonal,list1
127,189903,84840,6179,1368,81292,26360,74094,89522,507316,educational,list5
128,402809,3224,77152,43891,75323,75368,53401,41495,2779920,educational,list3
129,119881,70615,20102,53606,26116,61318,65517,39167,3825687,commute,list2
130,119084,7992,75630,21164,63909,65490,5404,72860,7835686,commute,list3
131,447750,9649,44827,55126,62466,1164,60685,17612,467118,travel,list7
132,229492,98152,5212,45016,32779,14110,37080,27354,4097848,seasonal,list6
133,42970,66897,4631,24169,75233,99663,15738,86410,2964077,seasonal,list4
134,134733,33779,84958,52007,1994,36889,7694,84982,6015424,commute,list1
135,173207,49205,36211,82137,1974,90933,19571,15204,4483450,travel,list1
136,499072,4624,92577,36557,79649,22619,92733,38962,6034983,travel,list3
137,8572,67192,48350,57327,69633,96339,29607,2280,459286,seasonal,list1
138,403610,24608,65617,78538,82265,329,83021,67818,7566788,commute,list2
139,483752,36133,92293,10840,95896,48788,90030,2070,8942707,personal,list5
140,135124,6878,89301,94374,88417,48355,63706,77758,9327415,educational,list1
141,446480,26380,89685,51079,1853,43887,58472,28100,6001343,travel,list5
142,479004,38854,35080,26276,76273,59612,5632,46088,8185630,educational,list2
143,271929,27898,15675,86278,52761,3463,15303,18514,6673280,commute,list7
144,419649,78848,12396,42075,23597,37851,17358,3419,3976932,commute,list5
145,168154,51801,28127,5771,30297,28203,50416,75591,7873010,educational,list4
146,429772,64256,10142,38146,3518,41984,73860,12721,3543220,travel,list5
147,365378,80276,25701,58327,27831,77194,4400,88326,1821044,commute,list7
148,105875,9652,18490,22943,8560,75464,77123,17047,7795525,seasonal,list3
149,432034,94568,71194,40965,34902,85254,16454,91906,9226552,travel,list5
150,47852,16490,79801,20974,8212,7837,97501,84028,8976793,commute,list5
151,173801,51072,52482,13655,50427,5779,87593,9450,8585895,travel,list2
152,210412,32114,19308,33719,1978,58537,33170,47356,3119312,personal,list5
153,379054,65400,2395,64603,66373,79036,28978,32101,5746178,personal,list7
154,333971,53618,85390,35400,78139,11372,31476,90939,9986661,travel,list7
155,111860,50361,33421,69550,17490,10214,77320,88908,5520452,personal,list3
156,306826,24818,67564,55839,89473,93692,88011,1624,8828025,seasonal,list3
157,225876,40214,52975,27844,2166,58950,54284,49803,734634,travel,list7
158,274756,91656,49457,47177,96558,79816,75778,53020,8988629,personal,list6
159,382453,48546,86695,36061,49862,46453,55039,90062,7544646,commute,list3
160,214795,98182,94853,72329,57671,43340,18891,58106,250858,personal,list3
161,449413,95054,26835,69453,94588,42027,65337,54529,1523133,educational,list2
162,405909,55509,19499,29787,93899,12818,70599,8753,4194566,commute,list5
163,210000,62306,69718,43063,16250,50540,74984,66873,6869720,travel,list3
164,123734,26633,10254,74610,56399,88942,22396,27328,2478502,commute,list3
165,96756,2441,68589,12624,78579,46850,46152,80489,7041117,travel,list1
166,365264,18330,38375,40128,46052,69289,18379,46916,5674300,travel,list2
167,370836,46905,38872,20183,78935,69135,6504,72145,989943,travel,list4
168,220968,93927,6716,9003,50688,4439,37409,66486,8259016,commute,list7
169,96603,44297,79381,47237,74913,13405,70007,6216,2004085,travel,list1
170,30019,20246,49457,21602,14181,61136,43460,46698,7390968,personal,list7
171,190115,8089,63744,79323,80631,64031,66503,7218,2289442,personal,list7
172,407583,30366,64911,6715,97765,9871,59448,78633,3848808,personal,list1
173,350595,9108,2353,23628,22327,32169,69263,62178,6005472,commute,list1
174,390840,74182,98591,21166,98095,31259,98696,7737,4969662,educational,list3
175,460953,40354,81877,71723,50037,81625,68444,47812,6175287,travel,list6
176,88394,88524,91934,87911,27537,86553,21201,37725,8712237,commute,list1
177,52776,34451,75448,70710,77919,27441,56276,4271,9863711,educational,list6
178,128698,9571,27560,70495,79291,2519,91900,97427,987718,personal,list4
179,245439,4736,4152,41218,68222,78132,30304,82564,5828660,seasonal,list6
180,338205,82426,82496,51320,41136,35903,78778,44364,570459,educational,list2
181,350776,32105,43827,39206,37873,26265,87579,68730,808723,commute,list1
182,190702,3549,80968,48386,47429,2054,40737,28824,1694570,travel,list7
183,387150,49293,79099,65693,64470,95885,14558,54064,2644193,commute,list6
184,383467,61235,82053,49481,6436,38504,37909,50238,4364754,travel,list6
185,244235,54285,25157,90755,24736,14932,84398,30582,7443321,educational,list2
186,450963,72319,86792,43276,16186,39900,82945,65292,3538937,travel,list6
187,95508,65141,11747,90847,77854,86438,97575,21041,2229048,seasonal,list4
188,56338,99530,85246,61418,50542,42646,6965,88131,7032735,travel,list3
189,128811,96146,75791,46763,143,96565,83119,3722,2788095,commute,list6
190,224872,79226,66116,9567,86492,35911,67440,61993,3031704,personal,list5
191,225600,61279,95557,91579,84933,58621,9419,62583,1254113,personal,list1
192,260976,1284,63937,21822,97336,4545,88881,22151,4365892,travel,list5
193,247170,63782,26790,18469,16179,16444,48962,56979,6163956,commute,list1
194,446459,5952,31255,98572,14791,70690,62432,28138,2484124,commute,list6
195,47431,69797,77227,626,10064,98045,33019,6883,7386292,commute,list6
196,212011,4148,44494,43109,99188,50280,78047,88187,7181169,seasonal,list2
197,327102,65156,18483,89423,94992,78633,74654,87416,7221174,commute,list5
198,39580,20376,85739,61170,59437,25008,55454,10699,2600370,commute,list7
199,3490,51404,18000,20151,56372,19610,16454,30081,2400499,seasonal,list3
200,132074,18930,42805,44580,87475,13819,78715,43329,5877830,commute,list3
201,187279,54229,5055,9475,8793,98729,61957,66624,5497204,seasonal,list5
202,95721,79243,17199,72977,77114,84265,8531,33714,6134363,travel,list1
203,454187,67548,44737,27595,84546,40829,43906,61180,5555385,seasonal,list4
204,479551,69640,10020,70541,9075,77277,76521,5404,2012877,personal,list4
205,103759,99480,41252,7553,96947,61998,39298,86939,9878546,travel,list4
206,4620,63440,33783,12017,79356,84109,26842,62504,7061734,educational,list2
207,168027,83570,77345,64283,46581,34881,30131,93790,1159287,educational,list7
208,79508,51117,7490,91032,5873,215,51073,3782,3133858,educational,list2
209,439492,38413,99001,56241,52308,25460,85049,94259,3693086,seasonal,list3
210,418583,5900,60466,65933,35813,67597,74624,35395,5229750,commute,list4
211,207247,33280,27080,64092,10134,34829,64068,32257,8285944,educational,list3
212,211760,83503,70565,59996,62116,83151,31294,63407,5865466,educational,list3
213,12608,79782,5174,61024,35451,3550,51685,2133,5294733,commute,list1
214,431618,56933,88723,11901,99372,21017,17498,99328,358499,travel,list1
215,387933,91437,21355,38324,5745,55426,21609,74909,8672749,commute,list2
216,154246,7470,34327,44225,73837,89865,71037,44226,9392720,personal,list1
217,395938,53331,95722,47581,1864,71552,25752,99202,3679982,educational,list7
218,201330,98044,40281,42113,20373,52473,45457,64368,8266779,educational,list4
219,465025,48064,50370,28997,66030,21548,73677,88314,6021552,educational,list1
220,452565,36111,54716,21478,30047,48085,70926,73616,1465482,seasonal,list4
221,154860,31204,10640,24068,41538,25666,76055,40983,1394980,seasonal,list3
222,17371,69222,37444,32328,44363,13342,91779,91341,6145193,personal,list7
223,321893,1079,15416,39036,31766,67691,74798,95470,5091799,personal,list3
224,320004,7632,69018,74270,1223,40132,55192,33170,2924751,educational,list7
225,462876,36628,47192,16969,13297,65385,30968,51858,190109,seasonal,list5
226,227317,98836,82162,26535,97819,32850,71058,49179,2894886,seasonal,list7
227,213690,53854,40407,99630,38161,50966,35735,27375,5466843,commute,list1
228,165431,80720,73552,87796,78997,94049,71371,540,7674514,travel,list5
229,452851,7953,35440,70901,88428,7356,76385,91196,7577701,personal,list2
230,51312,67557,87985,28120,72838,3672,70196,20150,7621143,travel,list5
231,177096,64498,95835,6265,64430,34215,97557,74599,6955710,travel,list5
232,68113,49893,86209,89317,79752,28588,67496,50164,4298687,educational,list7
233,163748,9852,88285,37094,38457,2545,49739,80213,744423,educational,list1
234,497506,18225,3247,62240,45271,54006,7286,63261,9477655,commute,list4
235,395058,59420,34288,35313,68129,85099,99882,88201,7145661,travel,list7
236,424568,14710,36845,40503,83053,18876,62380,63427,228365,travel,list5
237,136421,10060,6678,32702,89519,36851,28953,14916,8831885,educational,list4
238,77438,70770,6309,74144,48552,60683,74036,15216,7958286,seasonal,list3
239,279233,62752,12897,14946,73594,41735,9237,11681,8166536,travel,list1
240,423503,98337,62283,73378,18539,11555,5402,31691,7509425,travel,list4
241,444613,29199,58439,30065,68434,32343,36045,57178,2685174,educational,list5
242,175091,60979,32790,66434,65633,91921,99364,44751,1952672,commute,list5
243,276816,60509,94621,84480,83783,43199,15735,77953,4993028,commute,list7
244,222221,9517,18083,13980,76976,45737,32579,25856,4795501,educational,list5
245,460658,46311,17643,27983,18611,77712,22493,46495,9039410,commute,list4
246,105625,35736,9135,65291,87046,8400,49979,21981,577483,personal,list7
247,196070,52850,34406,84497,97488,58781,77511,99987,6184585,personal,list7
248,17005,44060,63413,44109,68778,63328,27124,81715,5526150,commute,list1
249,370479,38750,29077,51598,61670,17671,39299,35718,1584487,personal,list7
250,73926,73872,47988,37849,25481,6002,78164,76004,6305322,commute,list7
251,288532,36316,54428,81638,28861,8909,41399,85902,4421132,seasonal,list2
252,482468,35005,23495,62147,70857,81929,21047,31799,1018913,seasonal,list4
253,27617,39525,83085,38712,11837,3103,60933,17801,4402888,educational,list6
254,486211,64975,97924,79870,51566,65035,31796,85726,3341907,educational,list3
255,269985,79932,47367,23256,95349,38853,36425,25333,8305020,commute,list2
256,172989,64704,75903,20155,89549,84845,10489,20171,6827516,personal,list2
257,156013,34630,74798,65810,87341,63215,39614,31735,6932938,educational,list2
258,387564,5550,57179,42392,71427,64033,67837,56053,216679,commute,list7
259,391686,62185,22933,83966,41716,91517,51216,70027,1748498,seasonal,list3
260,428702,79392,93364,68534,62613,73061,33129,11570,6506370,commute,list1
261,136035,88062,16485,35129,9006,58327,4132,56631,8944534,educational,list2
262,60201,58456,68805,64473,17609,12524,66151,74444,5577679,travel,list4
263,489475,96245,14328,40067,16400,38028,65337,64923,3170678,personal,list7
264,255716,6993,37196,16773,53163,35029,50683,51651,2545551,seasonal,list7
265,16369,23975,8675,50217,49060,8422,62367,47394,8607478,seasonal,list7
266,28575,96630,73287,63542,21490,14431,60994,59752,3120132,commute,list5
267,294018,97785,63859,20114,20305,34658,11742,72646,2000182,travel,list7
268,115781,61992,23792,48404,35530,44263,78258,34892,7382441,educational,list2
269,256246,43426,95176,80317,28271,84000,49914,39440,4097005,personal,list1
270,108121,76559,88896,85734,39832,86915,83643,87882,1219095,seasonal,list5
271,456774,93192,62771,85991,54419,40044,3166,59595,2805304,personal,list2
272,203186,38042,19459,29988,50702,61116,95077,2504,4606503,commute,list1
273,472385,65937,2394,55482,71493,84497,69224,14374,2882394,travel,list1
274,404824,41795,64994,34224,16155,75670,34098,40956,5272510,educational,list2
275,205409,8389,80939,7287,70980,35216,29835,11156,9840410,personal,list2
276,347140,92756,13798,62534,77927,89470,66243,38119,4468310,personal,list3
277,55386,60418,77639,46351,46970,62845,90645,88500,3440341,commute,list4
278,196642,51371,48256,10751,15883,83655,76311,833,9761639,seasonal,list2
279,388640,28701,37070,73163,89398,94414,39764,2597,6952275,commute,list2
280,418278,68214,59047,76,11562,22762,79009,83889,9480616,personal,list6
281,96975,57603,36780,19419,79504,84311,92453,41325,9561881,seasonal,list1
282,51673,30160,9861,56680,85505,51507,88631,29199,3741865,commute,list7
283,159472,83356,35859,1378,7423,49660,91186,98535,5626682,travel,list2
284,162151,43223,40669,28943,98043,69261,40938,35989,8602179,personal,list2
285,213155,79518,49564,2997,35431,73636,2963,56962,785537,commute,list3
286,64399,78376,35118,57170,87457,34866,64351,55858,250425,commute,list4
287,364862,85677,49541,68024,82839,71521,93827,39185,9655578,seasonal,list5
288,168548,72234,51059,93578,21946,14044,50180,99524,1109540,educational,list1
289,194183,68543,22229,36663,18288,47111,80559,48226,7992532,commute,list4
290,168031,734,88358,51172,48129,69652,87671,81687,7141655,educational,list7
291,346999,76870,37046,56057,48373,6028,24287,64824,7459488,commute,list1
292,257678,78573,55866,87126,87317,19425,62229,1283,3558459,commute,list5
293,18179,48665,10171,85176,4972,92672,19895,87467,6243110,commute,list6
294,368846,53692,27413,84954,36756,11111,80700,32550,6352355,travel,list3
295,109870,75178,21439,88391,85681,82291,23436,35329,5612362,seasonal,list5
296,489296,69963,5672,22441,19659,97548,50060,52815,930226,commute,list7
297,473854,50847,3962,9,81218,5297,32578,20506,1333154,educational,list1
298,11442,98060,63697,58437,60487,94316,15374,64414,1035545,commute,list3
299,76884,47527,63360,4386,9126,9801,65299,98133,1585359,commute,list2
300,304813,72930,93804,98670,43932,71412,28090,69069,5592402,educational,list4
301,60525,7378,67948,44006,64618,38840,13314,54295,8957750,travel,list1
302,397035,36924,44371,61608,95171,45158,74289,26195,4900249,seasonal,list4
303,95741,98986,91862,99412,85936,63930,53161,17635,4523677,travel,list7
304,471916,12282,29190,88068,27164,62968,97007,28782,5712900,commute,list3
305,350723,53026,82164,93383,23058,71564,90338,50360,1327146,educational,list5
306,173733,19796,46887,10454,9281,52325,41094,23206,8398768,educational,list5
307,482482,4391,22403,16451,38604,9090,83749,46809,6241028,educational,list3
308,223251,1146,71901,88189,67742,96758,17031,2257,9173244,personal,list5
309,349116,58920,39907,77538,4447,51856,4552,23898,9354312,personal,list5
310,375314,73771,69240,41857,72057,95127,50652,54528,2972644,educational,list1
311,144416,97377,95865,61553,28512,4952,28618,26260,1418949,commute,list1
312,277368,3700,56137,25928,85781,30859,10846,94988,4062625,travel,list4
313,430361,92676,65097,8874,43183,75442,79916,32265,7567635,personal,list4
314,198378,89059,2567,75867,98901,27901,86832,65136,6684241,travel,list5
315,240188,46168,42505,80283,67914,66313,26570,92049,2355260,seasonal,list3
316,248135,51308,9055,54201,8884,39938,26256,22181,616386,travel,list6
317,494680,71882,15718,14780,93218,21643,14830,49595,7174613,personal,list5
318,362218,38501,72906,70223,46186,3574,85836,71961,250144,commute,list2
319,75536,69141,44872,8442,30417,73174,77621,2748,5402484,travel,list1
320,259539,83388,24061,19616,78024,82431,60220,84222,8086243,educational,list2
321,30610,72050,15830,47766,7844,16206,1232,21783,9950427,commute,list6
322,29402,26671,80536,57145,10923,50670,31793,63538,1442269,educational,list4
323,94186,4350,87926,9459,6037,71703,37098,56558,4860299,personal,list1
324,289291,77646,90080,16728,85309,56632,5316,58523,7695652,travel,list7
325,321273,94276,48618,88605,2892,31634,90824,4429,9504152,travel,list2
326,65015,69201,93165,34264,52174,25999,69355,49536,7994374,travel,list4
327,65987,89790,5447,46131,75026,36665,5816,55036,2976491,travel,list1
328,256249,5433,65384,95629,29793,26161,1466,70475,1620118,travel,list5
329,364345,9773,67849,38854,65971,84616,28502,23849,6525407,educational,list5
330,260599,75154,53598,71835,81484,66917,15510,74129,1049483,personal,list5
331,351094,88852,70922,9680,67669,98703,22422,30279,3011142,seasonal,list1
332,230214,55497,7619,40765,5360,47270,73252,35216,5120698,personal,list7
333,279840,40426,3528,56419,76173,92269,9544,87980,636200,seasonal,list3
334,220194,2772,98083,10846,1904,99666,64367,14804,3981120,educational,list3
335,261609,60013,67098,91011,16874,40427,47492,4698,5733499,seasonal,list5
336,174884,54557,37180,40943,23638,9064,16313,51549,6026965,seasonal,list1
337,170339,51901,18780,12969,64241,48096,39995,77085,893585,seasonal,list6
338,437142,8606,54425,64788,83045,63689,69084,37393,7540090,commute,list1
339,237028,90238,80278,65090,12141,9047,49196,69405,3481394,personal,list3
340,485175,1294,64205,96652,77309,41383,80340,45749,7507437,seasonal,list3
341,133462,10505,47991,79166,40691,62230,94508,5075,7409761,seasonal,list4
342,419491,37952,9981,63063,91980,50917,1522,99475,3650696,travel,list2
343,382326,14516,51842,77945,91501,18284,87232,9008,6995871,educational,list7
344,288630,64302,50004,29714,30014,40488,36043,89442,595895,commute,list4
345,207637,86809,3919,3234,64209,637,20885,55849,3419109,commute,list6
346,47507,68893,53182,92945,84862,15860,65612,67679,4667619,seasonal,list2
347,497268,86266,15378,45630,59296,17900,11265,33761,1720756,personal,list4
348,373743,72561,47746,96067,7428,42785,94926,34102,3158201,commute,list7
349,138772,13170,67030,86328,89853,76345,6733,10451,7589302,personal,list1
350,7921,37952,88728,45223,53183,72551,38340,15512,3488485,seasonal,list3
351,487918,60577,75703,84582,42030,71537,25464,19930,1146676,seasonal,list7
352,441144,95909,31538,38215,16204,81622,80064,19630,2785821,personal,list3
353,193184,82437,44365,48607,23043,83530,74426,94042,6013208,commute,list4
354,109890,57514,941,93688,37524,36831,58234,19671,9637673,educational,list2
355,81125,52604,59222,68777,57667,99733,86958,13501,5406461,personal,list2
356,148261,59145,48809,49371,88095,1298,75625,48299,1302698,personal,list2
357,225659,35262,1787,53314,92459,11487,35713,26684,9570882,travel,list6
358,471682,21719,26441,95808,32645,92282,65236,92190,6727930,seasonal,list6
359,422841,49564,75110,41337,54751,40921,42074,39348,3053278,commute,list2
360,43547,73188,93599,1424,87260,63455,39954,66998,5795692,travel,list4
361,140003,37145,85616,50942,11752,53848,96972,80759,1026625,travel,list5
362,162881,50299,14759,30275,41685,2852,68337,92976,7639395,educational,list7
363,32931,2525,73060,48793,663,13741,51774,9481,7407868,travel,list2
364,431194,24138,33789,91942,23187,41180,5612,10099,4922392,travel,list2
365,3802,71880,42718,43188,19977,18518,78006,69510,8211142,educational,list7
366,279779,99777,27316,22718,31946,56569,86197,5663,4491269,educational,list7
367,89407,72185,61662,53740,56753,86760,9540,84888,6746218,travel,list2
368,190069,31637,67952,88259,18121,87950,15173,93696,1118987,travel,list4
369,172588,37699,66287,25562,54974,7582,21277,74727,4660335,personal,list7
370,251457,15292,36968,17736,52956,81441,49901,82963,4343395,personal,list5
371,211632,38649,12743,51620,60198,12405,991,60994,9686412,educational,list4
372,236272,22144,45859,79624,73367,15669,80983,16964,411684,travel,list2
373,152456,77437,28213,91801,23228,46239,80856,68129,9999118,seasonal,list1
374,459175,63369,90185,47676,84699,46712,20180,30367,2148569,travel,list2
375,34336,34737,25951,20346,47315,73317,70414,68451,598631,educational,list1
376,377031,5810,50167,23169,72770,4757,54048,1138,4555133,educational,list5
377,457203,28365,59621,33593,13410,48395,84948,56434,6767696,seasonal,list1
378,239196,79313,54492,54812,15969,74164,44563,77419,279231,personal,list1
379,398456,61170,79203,75031,66502,81158,71561,2238,520655,commute,list2
380,339641,32627,28645,24853,47291,30307,42447,9421,1592249,travel,list1
381,270141,13836,34910,65360,15277,13818,40340,68341,9515637,personal,list5
382,269192,7606,64429,95615,43814,71476,62478,23610,7009592,educational,list6
383,426280,73800,66993,11781,67489,48194,33837,66550,2270586,travel,list1
